season,route_id,route_name,train,direction_id,day_type_id,day_type_name,stop_time,stop_id,stopsequence,average_ons,average_offs,average_load,objectid,hour,date,month,is_weekend
Spring 2012,CR-Fitchburg,Fitchburg Line,422,1,day_type_01,weekday,2012-01-01 18:26:00,Ayer,4.0,2,3,20,1,18,2012-01-01,1,0
Spring 2012,CR-Fitchburg,Fitchburg Line,434,1,day_type_01,weekday,2012-01-02 01:22:00,Lincoln,9.0,0,0,13,2,1,2012-01-02,1,0
Spring 2012,CR-Fitchburg,Fitchburg Line,434,1,day_type_01,weekday,2012-01-02 01:28:00,Kendal Green,12.0,0,0,13,3,1,2012-01-02,1,0
Spring 2012,CR-Fitchburg,Fitchburg Line,434,1,day_type_01,weekday,2012-01-02 01:31:00,Brandeis/Roberts,13.0,7,1,19,4,1,2012-01-02,1,0
Spring 2012,CR-Fitchburg,Fitchburg Line,434,1,day_type_01,weekday,2012-01-02 01:35:00,Waltham,14.0,8,4,23,5,1,2012-01-02,1,0
Spring 2012,CR-Fitchburg,Fitchburg Line,434,1,day_type_01,weekday,2012-01-02 01:44:00,Porter Square,17.0,1,14,10,6,1,2012-01-02,1,0
Spring 2012,CR-Fitchburg,Fitchburg Line,434,1,day_type_01,weekday,2012-01-02 01:55:00,North Station,18.0,0,10,0,7,1,2012-01-02,1,0
Spring 2012,CR-Fitchburg,Fitchburg Line,436,1,day_type_01,weekday,2012-01-02 01:25:00,Fitchburg,1.0,7,0,7,8,1,2012-01-02,1,0
Spring 2012,CR-Fitchburg,Fitchburg Line,436,1,day_type_01,weekday,2012-01-02 01:32:00,North Leominster,2.0,1,0,8,9,1,2012-01-02,1,0
Spring 2012,CR-Fitchburg,Fitchburg Line,436,1,day_type_01,weekday,2012-01-02 01:40:00,Shirley,3.0,1,0,9,10,1,2012-01-02,1,0
Spring 2012,CR-Fitchburg,Fitchburg Line,436,1,day_type_01,weekday,2012-01-02 01:44:00,Ayer,4.0,1,1,9,11,1,2012-01-02,1,0
Spring 2012,CR-Fitchburg,Fitchburg Line,436,1,day_type_01,weekday,2012-01-02 01:52:00,Littleton/Rte 495,5.0,0,0,9,12,1,2012-01-02,1,0
Spring 2012,CR-Fitchburg,Fitchburg Line,436,1,day_type_01,weekday,2012-01-02 01:59:00,South Acton,6.0,2,2,9,13,1,2012-01-02,1,0
Spring 2012,CR-Fitchburg,Fitchburg Line,436,1,day_type_01,weekday,2012-01-02 02:04:00,West Concord,7.0,4,0,13,14,2,2012-01-02,1,0
Spring 2012,CR-Fitchburg,Fitchburg Line,436,1,day_type_01,weekday,2012-01-02 02:10:00,Concord,8.0,2,1,14,15,2,2012-01-02,1,0
Spring 2012,CR-Fitchburg,Fitchburg Line,436,1,day_type_01,weekday,2012-01-02 02:16:00,Lincoln,9.0,0,0,14,16,2,2012-01-02,1,0
Spring 2012,CR-Fitchburg,Fitchburg Line,436,1,day_type_01,weekday,2012-01-02 02:22:00,Kendal Green,12.0,1,0,15,17,2,2012-01-02,1,0
Spring 2012,CR-Fitchburg,Fitchburg Line,436,1,day_type_01,weekday,2012-01-02 02:25:00,Brandeis/Roberts,13.0,12,0,27,18,2,2012-01-02,1,0
Spring 2012,CR-Fitchburg,Fitchburg Line,436,1,day_type_01,weekday,2012-01-02 02:29:00,Waltham,14.0,4,2,29,19,2,2012-01-02,1,0
Spring 2012,CR-Fitchburg,Fitchburg Line,436,1,day_type_01,weekday,2012-01-02 02:34:00,Waverley,15.0,0,1,28,20,2,2012-01-02,1,0
Spring 2012,CR-Fitchburg,Fitchburg Line,436,1,day_type_01,weekday,2012-01-02 02:36:00,Belmont,16.0,0,0,28,21,2,2012-01-02,1,0
Spring 2012,CR-Fitchburg,Fitchburg Line,436,1,day_type_01,weekday,2012-01-02 02:41:00,Porter Square,17.0,1,16,13,22,2,2012-01-02,1,0
Spring 2012,CR-Fitchburg,Fitchburg Line,436,1,day_type_01,weekday,2012-01-02 02:52:00,North Station,18.0,0,13,0,23,2,2012-01-02,1,0
Spring 2012,CR-Fitchburg,Fitchburg Line,438,1,day_type_01,weekday,2012-01-02 03:25:00,Fitchburg,1.0,8,0,8,24,3,2012-01-02,1,0
Spring 2012,CR-Fitchburg,Fitchburg Line,438,1,day_type_01,weekday,2012-01-02 03:33:00,North Leominster,2.0,4,0,12,25,3,2012-01-02,1,0
Spring 2012,CR-Fitchburg,Fitchburg Line,438,1,day_type_01,weekday,2012-01-02 03:41:00,Shirley,3.0,1,0,13,26,3,2012-01-02,1,0
Spring 2012,CR-Fitchburg,Fitchburg Line,438,1,day_type_01,weekday,2012-01-02 03:45:00,Ayer,4.0,1,3,11,27,3,2012-01-02,1,0
Spring 2012,CR-Fitchburg,Fitchburg Line,438,1,day_type_01,weekday,2012-01-02 03:53:00,Littleton/Rte 495,5.0,0,0,11,28,3,2012-01-02,1,0
Spring 2012,CR-Fitchburg,Fitchburg Line,438,1,day_type_01,weekday,2012-01-02 04:00:00,South Acton,6.0,0,0,11,29,4,2012-01-02,1,0
Spring 2012,CR-Fitchburg,Fitchburg Line,438,1,day_type_01,weekday,2012-01-02 04:06:00,West Concord,7.0,3,0,14,30,4,2012-01-02,1,0
Spring 2012,CR-Fitchburg,Fitchburg Line,438,1,day_type_01,weekday,2012-01-02 04:12:00,Concord,8.0,0,1,13,31,4,2012-01-02,1,0
Spring 2012,CR-Fitchburg,Fitchburg Line,438,1,day_type_01,weekday,2012-01-02 04:16:00,Lincoln,9.0,1,0,14,32,4,2012-01-02,1,0
Spring 2012,CR-Fitchburg,Fitchburg Line,438,1,day_type_01,weekday,2012-01-02 04:21:00,Kendal Green,12.0,0,0,14,33,4,2012-01-02,1,0
Spring 2012,CR-Fitchburg,Fitchburg Line,438,1,day_type_01,weekday,2012-01-02 04:25:00,Brandeis/Roberts,13.0,13,0,27,34,4,2012-01-02,1,0
Spring 2012,CR-Fitchburg,Fitchburg Line,438,1,day_type_01,weekday,2012-01-02 04:28:00,Waltham,14.0,4,3,28,35,4,2012-01-02,1,0
Spring 2012,CR-Fitchburg,Fitchburg Line,438,1,day_type_01,weekday,2012-01-02 04:37:00,Porter Square,17.0,0,12,16,36,4,2012-01-02,1,0
Spring 2012,CR-Fitchburg,Fitchburg Line,438,1,day_type_01,weekday,2012-01-02 04:48:00,North Station,18.0,0,16,0,37,4,2012-01-02,1,0
